법규명,원문링크
감정평가 및 감정평가사에 관한 법률,https://www.law.go.kr/법령/감정평가및감정평가사에관한법률
건설기술 진흥법,https://www.law.go.kr/법령/건설기술진흥법
건설기술 진흥법 시행령,https://www.law.go.kr/법령/건설기술진흥법시행령
건설기술진흥법,https://www.law.go.kr/법령/건설기술진흥법
건설산업기본법,https://www.law.go.kr/법령/건설산업기본법
건축기본법,https://www.law.go.kr/법령/건축기본법
건축기본법,https://www.law.go.kr/법령/건축기본법
건축기본법,https://www.law.go.kr/법령/건축기본법
건축기본법 시행령,https://www.law.go.kr/법령/건축기본법시행령
건축기본법 시행령,https://www.law.go.kr/법령/건축기본법시행령
건축물관리법,https://www.law.go.kr/법령/건축물관리법
건축물관리법,https://www.law.go.kr/법령/건축물관리법
건축물관리법 시행규칙,https://www.law.go.kr/법령/건축물관리법시행규칙
건축물관리법 시행규칙,https://www.law.go.kr/법령/건축물관리법시행규칙
건축물관리법 시행령,https://www.law.go.kr/법령/건축물관리법시행령
건축물관리법 시행령,https://www.law.go.kr/법령/건축물관리법시행령
건축법,https://www.law.go.kr/법령/건축법
건축법,https://www.law.go.kr/법령/건축법
건축법,https://www.law.go.kr/법령/건축법
건축법 시행규칙,https://www.law.go.kr/법령/건축법시행규칙
건축법 시행규칙,https://www.law.go.kr/법령/건축법시행규칙
건축법 시행령,https://www.law.go.kr/법령/건축법시행령
건축법 시행령,https://www.law.go.kr/법령/건축법시행령
건축법 시행령,https://www.law.go.kr/법령/건축법시행령
건축사법,https://www.law.go.kr/법령/건축사법
건축사법,https://www.law.go.kr/법령/건축사법
경관법,https://www.law.go.kr/법령/경관법
경기도 건축 조례,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=41000016012058&histNo=033&menuNm=main
경기도 건축기본조례,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=41000016012004&histNo=007&menuNm=main
경기도 건축물 미술작품 설치 및 관리에 관한 조례,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=41000007010016&histNo=002&menuNm=main
경기도 건축물 미술작품 설치 및 관리에 관한 조례 시행규칙,"https://www.law.go.kr/자치법규/경기도건축물미술작품설치및관리에관한조례시행규칙/(4116,20240821)"
